Date,Time,Event,EAR,MAR
2026-05-14,14:40:18,Yawning,0.21,0.67,0
2026-05-14,14:40:19,Drowsy,0.18,0.63,0
2026-05-14,14:40:22,Drowsy,0.21,0.5,0
2026-05-14,14:40:25,Drowsy,0.18,0.61,0
2026-05-14,14:40:25,Yawning,0.18,0.61,0
2026-05-14,14:40:28,Drowsy,0.22,0.44,0
2026-05-14,14:40:33,Drowsy,0.22,0.55,0
2026-05-14,14:40:39,Drowsy,0.12,0.37,0
2026-05-14,14:40:40,Yawning,0.23,0.65,0
2026-05-14,14:44:54,Drowsy,0.05,0.48,0
2026-05-14,14:44:58,Drowsy,0.11,0.49,0
2026-05-14,14:45:01,Drowsy,0.08,0.47,0
2026-05-14,14:45:07,Drowsy,0.19,0.44,0
2026-05-14,14:45:11,Drowsy,0.06,0.49,0
2026-05-14,14:45:21,Drowsy,0.08,0.46,0
2026-05-14,14:45:23,Yawning,0.2,0.62,0
2026-05-14,14:45:27,Drowsy,0.14,0.52,0
2026-05-14,14:45:28,Yawning,0.17,0.6,0
2026-05-14,14:45:32,Drowsy,0.24,0.42,0
2026-05-14,14:45:35,Drowsy,0.2,0.54,0
2026-05-14,14:45:38,Drowsy,0.14,0.53,0
2026-05-14,14:45:42,Drowsy,0.21,0.5,0
2026-05-14,14:45:45,Drowsy,0.23,0.48,0
2026-05-14,14:45:48,Drowsy,0.22,0.48,1
2026-05-14,14:45:49,OverSpeed,0.23,0.52,107
2026-05-14,14:45:52,OverSpeed,0.21,0.54,116
2026-05-14,14:45:52,Drowsy,0.21,0.48,116
2026-05-14,14:45:55,OverSpeed,0.29,0.49,116
2026-05-14,14:45:58,OverSpeed,0.24,0.53,116
2026-05-14,14:45:59,Drowsy,0.11,0.53,116
2026-05-14,14:46:01,OverSpeed,0.25,0.49,116
2026-05-14,14:46:04,OverSpeed,0.19,0.56,116
2026-05-14,14:46:05,Drowsy,0.23,0.56,116
2026-05-14,14:46:07,OverSpeed,0.23,0.54,116
2026-05-14,14:46:08,Drowsy,0.25,0.52,116
2026-05-14,14:46:10,OverSpeed,0.21,0.55,116
2026-05-14,14:46:11,Drowsy,0.08,0.31,116
2026-05-14,14:46:13,OverSpeed,0.24,0.41,116
2026-05-14,14:46:14,Drowsy,0.23,0.48,116
2026-05-14,14:46:16,OverSpeed,0.22,0.42,116
2026-05-14,14:46:18,Yawning,0.3,0.64,116
2026-05-14,14:46:19,OverSpeed,0.22,0.48,116
2026-05-14,14:46:21,Drowsy,0.24,0.54,116
2026-05-14,14:46:22,OverSpeed,0.24,0.54,116
2026-05-14,15:01:24,Yawning,0.33,0.54,0
2026-05-14,15:01:30,Drowsy,0.09,0.35,0
2026-05-14,15:01:32,Yawning,0.27,0.56,0
2026-05-14,15:01:41,OverSpeed,0.16,0.33,104
2026-05-14,15:01:42,Drowsy,0.2,0.38,105
2026-05-14,15:01:45,OverSpeed,0.23,0.4,111
2026-05-14,15:01:45,Drowsy,0.2,0.43,111
2026-05-14,15:01:46,Yawning,0.2,0.5,111
2026-05-14,15:01:48,OverSpeed,0.27,0.44,111
2026-05-14,15:01:51,OverSpeed,0.07,0.41,111
2026-05-14,15:01:52,Drowsy,0.07,0.4,111
2026-05-14,15:01:53,Yawning,0.29,0.51,111
2026-05-14,15:01:54,OverSpeed,0.28,0.47,111
2026-05-14,15:01:56,Yawning,0.31,0.5,111
2026-05-14,15:01:57,OverSpeed,0.31,0.46,111
2026-05-14,15:01:59,Yawning,0.29,0.52,111
2026-05-14,15:02:00,OverSpeed,0.29,0.49,111
2026-05-14,15:02:01,Drowsy,0.21,0.44,111
2026-05-14,15:02:03,OverSpeed,0.31,0.46,111
2026-05-14,15:02:03,Yawning,0.33,0.54,111
2026-05-14,15:02:06,OverSpeed,0.3,0.51,111
2026-05-14,15:02:07,Yawning,0.29,0.51,111
2026-05-14,15:02:09,OverSpeed,0.29,0.51,111
2026-05-14,15:02:10,Yawning,0.27,0.53,111
2026-05-14,15:02:12,Drowsy,0.11,0.57,111
2026-05-14,15:02:12,OverSpeed,0.11,0.56,111
2026-05-14,15:02:13,Yawning,0.3,0.53,111
2026-05-14,15:02:15,Drowsy,0.04,0.51,111
2026-05-14,15:02:15,OverSpeed,0.04,0.49,111
2026-05-14,15:02:16,Yawning,0.05,0.5,111
2026-05-14,15:02:18,Drowsy,0.05,0.49,111
2026-05-14,15:02:18,OverSpeed,0.04,0.5,111
2026-05-14,15:02:19,Yawning,0.23,0.67,111
2026-05-14,15:02:21,OverSpeed,0.24,0.44,111
2026-05-14,15:02:22,Yawning,0.27,0.51,111
2026-05-14,15:02:24,OverSpeed,0.26,0.5,111
2026-05-14,15:02:26,Yawning,0.21,0.52,111
2026-05-14,15:02:27,Drowsy,0.08,0.51,111
2026-05-14,15:02:27,OverSpeed,0.15,0.51,111
2026-05-14,15:02:29,Yawning,0.18,0.56,111
2026-05-14,15:02:45,Drowsy,0.2,0.58,111
2026-05-14,15:08:02,OverSpeed,0.24,0.5,107
2026-05-14,15:08:02,Yawning,0.28,0.5,107
2026-05-14,15:08:05,OverSpeed,0.3,0.39,107
2026-05-14,15:08:08,Yawning,0.29,0.5,107
2026-05-14,15:08:08,OverSpeed,0.28,0.49,107
2026-05-14,15:08:10,HighScore,0.05,0.46,107
2026-05-14,15:08:11,Drowsy,0.06,0.51,107
2026-05-14,15:08:11,OverSpeed,0.07,0.49,107
2026-05-14,15:08:13,Yawning,0.29,0.5,107
2026-05-14,15:08:14,OverSpeed,0.29,0.51,107
2026-05-14,15:08:17,OverSpeed,0.27,0.44,107
2026-05-14,15:08:19,Yawning,0.27,0.5,96
2026-05-14,15:08:25,Drowsy,0.05,0.47,96
2026-05-14,15:08:27,Yawning,0.31,0.54,96
2026-05-14,15:08:32,Yawning,0.23,0.53,96
2026-05-14,15:08:37,Yawning,0.25,0.52,96
2026-05-14,15:08:43,Yawning,0.31,0.51,96
2026-05-14,15:08:48,Yawning,0.28,0.51,96
2026-05-14,15:08:53,Yawning,0.3,0.51,96
2026-05-14,15:08:58,Yawning,0.21,0.52,96
2026-05-14,15:08:59,Drowsy,0.16,0.5,96
2026-05-14,15:09:04,Yawning,0.23,0.51,96
2026-05-14,15:09:09,Yawning,0.3,0.5,96
2026-05-14,15:09:11,Drowsy,0.18,0.39,96
